transaction_id,transaction_date,transaction_amount,customer_id,product_id,payment_method
1,2022-02-01,1688.25,1,1,PayPal
2,2022-02-01,2233.73,2,2,debit card
3,2022-02-01,4051.51,3,3,cash
4,2022-02-01,8559.76,4,4,cash
5,2022-02-01,8513.31,5,5,credit card
6,2022-02-01,9488.45,6,6,credit card
7,2022-02-01,8577.7,7,7,debit card
8,2022-02-01,5801.07,8,8,PayPal
9,2022-02-01,1303.55,9,9,PayPal
10,2022-02-01,5865.39,10,10,credit card
11,2022-02-01,3763.93,11,11,PayPal
12,2022-02-01,4409.23,12,12,debit card
13,2022-02-01,7272.19,13,13,cash
14,2022-02-01,3482.41,14,14,PayPal
15,2022-02-01,1323.49,15,15,cash
16,2022-02-01,2314.89,16,16,credit card
17,2022-02-01,6579.07,17,17,credit card
18,2022-02-01,420.89,18,18,PayPal
19,2022-02-01,533.95,19,19,debit card
20,2022-02-01,1688.0,20,20,credit card
21,2022-02-01,8403.13,21,21,PayPal
22,2022-02-01,8712.63,22,22,PayPal
23,2022-02-01,4142.22,23,23,cash
24,2022-02-01,5244.35,24,24,debit card
25,2022-02-01,5545.96,25,25,credit card
26,2022-02-01,4921.16,26,26,credit card
27,2022-02-01,9772.02,27,27,PayPal
28,2022-02-01,8406.97,28,28,credit card
29,2022-02-01,1447.87,29,29,cash
30,2022-02-01,8145.44,30,30,PayPal
31,2022-02-01,1059.6,31,31,credit card
32,2022-02-01,9473.85,32,32,debit card
33,2022-02-01,6709.24,33,33,cash
34,2022-02-01,4255.69,34,34,cash
35,2022-02-01,6047.88,35,35,cash
36,2022-02-01,2305.98,36,36,cash
37,2022-02-01,6130.65,37,37,debit card
38,2022-02-01,4067.82,38,38,debit card
39,2022-02-01,9961.78,39,39,credit card
40,2022-02-01,1202.58,40,40,cash
41,2022-02-01,4510.69,41,41,cash
42,2022-02-01,7448.44,42,42,credit card
43,2022-02-01,5908.75,43,43,cash
44,2022-02-01,2120.91,44,44,credit card
45,2022-02-01,8066.89,45,45,PayPal
46,2022-02-01,648.86,46,46,cash
47,2022-02-01,7935.81,47,47,debit card
48,2022-02-01,4790.83,48,48,PayPal
49,2022-02-01,9171.17,49,49,cash
50,2022-02-01,140.55,50,50,credit card
51,2022-02-01,7707.65,51,51,debit card
52,2022-02-01,9899.62,52,52,cash
53,2022-02-01,1539.84,53,53,credit card
54,2022-02-01,166.12,54,54,PayPal
55,2022-02-01,8022.79,55,55,cash
56,2022-02-01,2069.1,56,56,cash
57,2022-02-01,7325.26,57,57,debit card
58,2022-02-01,869.57,58,58,PayPal
59,2022-02-01,9052.51,59,59,cash
60,2022-02-01,4601.53,60,60,debit card
61,2022-02-01,3093.46,61,61,cash
62,2022-02-01,3182.2,62,62,debit card
63,2022-02-01,120.42,63,63,debit card
64,2022-02-01,7336.57,64,64,credit card
65,2022-02-01,6267.11,65,65,debit card
66,2022-02-01,6906.41,66,66,credit card
67,2022-02-01,5302.09,67,67,credit card
68,2022-02-01,8594.08,68,68,debit card
69,2022-02-01,6057.59,69,69,cash
70,2022-02-01,3852.67,70,70,debit card
71,2022-02-01,6040.5,71,71,debit card
72,2022-02-01,6182.94,72,72,debit card
73,2022-02-01,8947.36,73,73,credit card
74,2022-02-01,6429.24,74,74,credit card
75,2022-02-01,6285.18,75,75,debit card
76,2022-02-01,3792.54,76,76,credit card
77,2022-02-01,1931.94,77,77,debit card
78,2022-02-01,7765.82,78,78,cash
79,2022-02-01,4501.01,79,79,PayPal
80,2022-02-01,8580.45,80,80,credit card
81,2022-02-01,8340.5,81,81,debit card
82,2022-02-01,8522.75,82,82,PayPal
83,2022-02-01,6488.93,83,83,credit card
84,2022-02-01,2777.19,84,84,cash
85,2022-02-01,5870.49,85,85,credit card
86,2022-02-01,1230.76,86,86,PayPal
87,2022-02-01,5771.69,87,87,credit card
88,2022-02-01,9778.44,88,88,debit card
89,2022-02-01,9459.84,89,89,PayPal
90,2022-02-01,3865.89,90,90,credit card
91,2022-02-01,9550.44,91,91,debit card
92,2022-02-01,2602.4,92,92,PayPal
93,2022-02-01,8500.77,93,93,debit card
94,2022-02-01,3662.6,94,94,PayPal
95,2022-02-01,4725.76,95,95,PayPal
96,2022-02-01,2531.76,96,96,cash
97,2022-02-01,1401.96,97,97,credit card
98,2022-02-01,4812.77,98,98,debit card
99,2022-02-01,5459.4,99,99,cash
100,2022-02-01,5365.73,100,100,PayPal
